sample_id,schedule_index,seed,horizon_chunks,mode,generated_local_frame,source_frame_index,rmse,mae,psnr,psnr_status
schedule0_TF_h2_seed1,0,1,2,TF,2,18,0.1667967722981012,0.08124918146413525,15.556247153904057,finite
schedule0_TF_h2_seed1,0,1,2,TF,3,19,0.17870843511172638,0.08946005017773,14.957098962643638,finite
schedule0_TF_h2_seed1,0,1,2,TF,4,20,0.17610332025188027,0.08761307028494751,15.084649115353312,finite
schedule0_TF_h2_seed1,0,1,2,TF,5,21,0.1829380521542165,0.0923542306074765,14.753918988148293,finite
schedule0_TF_h2_seed1,0,1,2,TF,6,22,0.19204077485110013,0.09778064743609367,14.332131007933901,finite
schedule0_TF_h2_seed1,0,1,2,TF,7,23,0.19484890068927121,0.10069504444669282,14.206040801883626,finite
schedule0_TF_h2_seed1,0,1,2,TF,8,24,0.19534837386347279,0.10153266087601764,14.183803992347793,finite
schedule0_TF_h2_seed1,0,1,2,TF,9,25,0.19053997246920704,0.09778150498272709,14.400278037377712,finite
schedule0_TF_h2_seed1,0,1,2,TF,10,26,0.17781908999585838,0.08976716170647829,15.000432332466085,finite
schedule0_TF_h2_seed1,0,1,2,TF,11,27,0.17232393895946954,0.08195627290878586,15.273087737652283,finite
schedule0_TF_h2_seed1,0,1,2,TF,12,28,0.13874248023807162,0.06586993681976594,17.155810921527145,finite
schedule0_TF_h2_seed1,0,1,2,TF,13,29,0.13008676454450765,0.06264758141309083,17.71533775480831,finite
schedule0_TF_h2_seed1,0,1,2,TF,14,30,0.14652899127078442,0.07306505873902817,16.681528802677825,finite
schedule0_TF_h2_seed1,0,1,2,TF,15,31,0.13974369533924647,0.07281964146111382,17.09335553160574,finite
schedule0_TF_h2_seed1,0,1,2,TF,16,32,0.15336012450241504,0.08144071497952392,16.28575095112754,finite
schedule0_AR_h2_seed1,0,1,2,AR,1,17,0.17211064270652812,0.09502126233943879,15.283845472494857,finite
schedule0_AR_h2_seed1,0,1,2,AR,2,18,0.20209597969564955,0.11337625587376483,13.88884651676581,finite
schedule0_AR_h2_seed1,0,1,2,AR,3,19,0.22863812548986595,0.12897229013439926,12.817026982813733,finite
schedule0_AR_h2_seed1,0,1,2,AR,4,20,0.22314913676862697,0.12708219125630413,13.028095776948268,finite
schedule0_AR_h2_seed1,0,1,2,AR,5,21,0.2326500192344368,0.13137644013206065,12.66593814450472,finite
schedule0_AR_h2_seed1,0,1,2,AR,6,22,0.22810388180705057,0.12812045669537278,12.837346479207303,finite
schedule0_AR_h2_seed1,0,1,2,AR,7,23,0.22353087077925674,0.1258916475665591,13.013249801132913,finite
schedule0_AR_h2_seed1,0,1,2,AR,8,24,0.22432353710069802,0.1266678260981564,12.9825031153525,finite
schedule0_AR_h2_seed1,0,1,2,AR,9,25,0.22018959913902797,0.12307180430107441,13.144063983689403,finite
schedule0_AR_h2_seed1,0,1,2,AR,10,26,0.21795694273307398,0.12029631405317076,13.2325858508759,finite
schedule0_AR_h2_seed1,0,1,2,AR,11,27,0.19070819107528397,0.10485457201229782,14.392613064890034,finite
schedule0_AR_h2_seed1,0,1,2,AR,12,28,0.15547038670968522,0.08581049244923615,16.167046423847523,finite
schedule0_AR_h2_seed1,0,1,2,AR,13,29,0.1468776754499625,0.08178698040164771,16.660884188439834,finite
schedule0_AR_h2_seed1,0,1,2,AR,14,30,0.16889629057092054,0.09257347705376635,15.447597772614277,finite
schedule0_AR_h2_seed1,0,1,2,AR,15,31,0.1520842570173422,0.08782409440264871,16.358314791176067,finite
schedule0_AR_h2_seed1,0,1,2,AR,16,32,0.1573978182161131,0.09287244238122838,16.06002583893806,finite
schedule0_TF_h3_seed2,0,2,3,TF,1,33,0.08150625817347212,0.038932342965532975,21.776180883884834,finite
