space,index,singular_value,resolved_cumulative_energy
feedback_condition,1,873.4478973327948,0.3896114402137708
feedback_condition,2,550.2100654813548,0.5442133147505444
feedback_condition,3,281.8825634932544,0.5847916399285729
feedback_condition,4,216.92011967897525,0.6088218387464079
feedback_condition,5,214.94397966439047,0.6324162021580497
feedback_condition,6,205.72642570246106,0.6540303369086404
feedback_condition,7,202.23336430424254,0.6749167232375473
feedback_condition,8,199.49778258527215,0.695241876965149
feedback_condition,9,193.9230368741872,0.714446973771655
feedback_condition,10,190.8252356162856,0.7330433921315441
feedback_condition,11,179.91722533465733,0.7495745465604794
feedback_condition,12,175.69791705992154,0.76533943562452
feedback_condition,13,172.75460119997973,0.780580557641251
feedback_condition,14,171.36598135373464,0.795577644886996
feedback_condition,15,168.31653165509414,0.8100457361706109
feedback_condition,16,166.30194418610148,0.8241695617675759
feedback_condition,17,162.21442064150295,0.8376076229121441
feedback_condition,18,160.37555153852585,0.8507427421377335
feedback_condition,19,157.21254988735654,0.8633648566740341
feedback_condition,20,154.63008291708744,0.8755757003332753
feedback_condition,21,152.84531959194393,0.8875062920025143
feedback_condition,22,150.3903963598467,0.8990567153185756
feedback_condition,23,149.15123800772963,0.9104175808184265
feedback_condition,24,146.50445056538692,0.9213788117953687
feedback_condition,25,145.30164780453364,0.9321607980102663
feedback_condition,26,143.4502599542719,0.9426697733388528
feedback_condition,27,141.86260936692065,0.9529474175886927
feedback_condition,28,140.45558575031203,0.9630222011247729
feedback_condition,29,136.39996452970394,0.9725235706312249
feedback_condition,30,135.78246855521547,0.9819391076072759
feedback_condition,31,133.72512797189734,0.9910714826313921
feedback_condition,32,132.22416321571018,0.9999999999999999
float_rgb_final,1,1603.3625857770949,0.509658673159371
float_rgb_final,2,1047.31022587882,0.7271122806362444
float_rgb_final,3,415.960532074491,0.7614143388003771
float_rgb_final,4,347.6479902252818,0.7853748111292194
float_rgb_final,5,283.97265138992987,0.80136188426189
float_rgb_final,6,264.496479707114,0.8152312219144564
float_rgb_final,7,251.85746272549625,0.8278067310368842
float_rgb_final,8,233.16988668272958,0.838585293731257
float_rgb_final,9,216.71916249483755,0.8478965988111328
float_rgb_final,10,210.54142314529918,0.8566846188245771
float_rgb_final,11,208.74699216067563,0.8653234777468275
float_rgb_final,12,206.6600191789219,0.8737904640963305
float_rgb_final,13,200.66541387928982,0.8817733694313157
float_rgb_final,14,198.51986575592892,0.8895864782769506
float_rgb_final,15,196.25254402452052,0.8972221371763252
float_rgb_final,16,191.56897868734148,0.9044976949995532
float_rgb_final,17,190.06172598776587,0.9116592159475504
float_rgb_final,18,187.6657716135373,0.918641315977713
float_rgb_final,19,183.78219146950275,0.9253374290803338
float_rgb_final,20,180.61311581967507,0.9318046023767717
float_rgb_final,21,179.0832223280496,0.9381626785892564
float_rgb_final,22,177.70151728078076,0.9444230226313721
float_rgb_final,23,176.0862153673396,0.9505700712397558
float_rgb_final,24,173.89817815403705,0.9565653032304168
float_rgb_final,25,172.12929925085226,0.9624391894577768
float_rgb_final,26,170.2266926681095,0.9681839410150936
float_rgb_final,27,168.46198295162915,0.9738102003400222
float_rgb_final,28,168.2095690373225,0.9794196121581021
float_rgb_final,29,166.9765843488281,0.9849470908205578
float_rgb_final,30,163.10529035791052,0.9902212353202046
float_rgb_final,31,158.09065799667178,0.9951760605803799
float_rgb_final,32,155.98863514686877,1.0000000000000002
predicted_latent,1,2157.8951942194167,0.5627744085614356
predicted_latent,2,1140.5587818435722,0.7199948423121886
predicted_latent,3,640.5422428037026,0.7695819978692011
predicted_latent,4,401.75635873960476,0.7890893877067374
predicted_latent,5,324.15138779323945,0.8017883845484204
predicted_latent,6,304.00267233048373,0.8129577486181238
predicted_latent,7,285.3128657412288,0.8227959646886951
predicted_latent,8,277.4493479257063,0.8320993511422893
predicted_latent,9,267.45420721631206,0.8407445007357288
predicted_latent,10,259.3239706677526,0.8488720380125161
predicted_latent,11,255.91726882477417,0.8567874373301888
predicted_latent,12,251.59919139982236,0.8644379779729249
predicted_latent,13,250.68524000723613,0.8720330373371153
predicted_latent,14,247.05146434652244,0.8794095061305036
predicted_latent,15,246.0424912348177,0.886725846071326
predicted_latent,16,245.38408842946944,0.8940030817622505
predicted_latent,17,242.90775609338448,0.9011341798284894
predicted_latent,18,241.3963247068104,0.9081768111168704
predicted_latent,19,240.58369191779107,0.9151721058098726
predicted_latent,20,239.35334452506333,0.922096035438264
predicted_latent,21,238.12691719131968,0.9289491915315368
predicted_latent,22,237.42211181796816,0.9357618398720786
predicted_latent,23,236.71119521957098,0.942533750863627
predicted_latent,24,235.43046852544865,0.9492325811999873
predicted_latent,25,233.63355647895574,0.955829544753457
predicted_latent,26,231.44437070532845,0.9623034582015365
predicted_latent,27,231.03354296465565,0.9687544088728967
predicted_latent,28,229.836589920891,0.9751386897181712
predicted_latent,29,229.3045621543295,0.981493447993314
predicted_latent,30,227.02167932642837,0.9877223042450272
predicted_latent,31,225.41498017971801,0.9938633055955136
predicted_latent,32,225.33591974835116,1.0000000000000002
