space,direction_id,primary_alpha,half_alpha,primary_input_cosine,half_input_cosine,derivative_cosine,derivative_relative_rms_change,primary_response_floor_multiple,half_response_floor_multiple,pass
predicted_latent,train_00,0.003,0.0015,0.9999999999641302,0.9999999998576283,0.99164824701961,0.13195251615249595,2705.8322261274943,1303.887220907589,True
predicted_latent,train_01,0.003,0.0015,0.9999999999642804,0.9999999998632578,0.9989934864257742,0.045840824687117705,3046.899404650641,1507.5143137562713,True
predicted_latent,train_02,0.003,0.0015,0.9999999999648883,0.9999999998563485,0.999996034714007,0.002970956626603402,2420.377506220296,1209.038467770938,True
predicted_latent,train_03,0.003,0.0015,0.9999999999644325,0.9999999998606733,0.984786511287958,0.19795729590465594,4353.873646542306,1937.3927479678803,True
predicted_latent,train_04,0.003,0.0015,0.9999999999638167,0.9999999998549491,0.9999960304884843,0.0029798781502123964,2470.314154885765,1233.9541839165277,True
predicted_latent,train_05,0.003,0.0015,0.9999999999648979,0.9999999998576524,0.9999962831773419,0.0027264688530605065,2596.2894359103984,1298.1383914285682,True
predicted_latent,train_06,0.003,0.0015,0.9999999999637099,0.9999999998590755,0.9929966568861861,0.13101825398743228,4270.822987660206,1999.506054256299,True
predicted_latent,train_07,0.003,0.0015,0.9999999999636184,0.999999999859261,0.9999856510331877,0.005568912027272069,4861.493828808266,2434.4866274324045,True
predicted_latent,train_08,0.003,0.0015,0.9999999999636968,0.9999999998588858,0.9920174552057086,0.14455137745123667,7603.1705215827,3502.5947990136337,True
predicted_latent,train_09,0.003,0.0015,0.9999999999638491,0.9999999998537912,0.9999900171760024,0.005499386275504284,2845.2775842883693,1427.2284158079028,True
predicted_latent,train_10,0.003,0.0015,0.9999999999647755,0.9999999998569891,0.9999700668873549,0.008468102224295919,2503.5969482411024,1247.4533376935055,True
predicted_latent,train_11,0.003,0.0015,0.9999999999638893,0.9999999998543548,0.9999504035259588,0.009961906711125956,2308.0190139669044,1153.696575621345,True
predicted_latent,train_12,0.003,0.0015,0.9999999999653861,0.9999999998545489,0.9993825405423472,0.037165594924568064,2886.5727800877157,1424.9113842278805,True
predicted_latent,train_13,0.003,0.0015,0.9999999999638227,0.9999999998551288,0.8131260789441012,0.6610748689229992,15025.622675054266,3754.6540795447113,False
predicted_latent,train_14,0.003,0.0015,0.9999999999651772,0.9999999998534377,0.907668204576013,0.47811470376579607,7586.701699220367,2574.3086784566804,False
predicted_latent,train_15,0.003,0.0015,0.9999999999649419,0.9999999998622814,0.9999974240578214,0.002323828474171375,2854.503968622973,1427.967346954825,True
predicted_latent,train_16,0.003,0.0015,0.9999999999640963,0.9999999998609903,0.9999963210793503,0.0027267856687964286,3289.9990692728948,1644.535855552748,True
predicted_latent,train_17,0.003,0.0015,0.9999999999645588,0.9999999998564552,0.975146609263643,0.24935226344901235,3635.4531856882836,1564.6013139834824,True
predicted_latent,train_18,0.003,0.0015,0.9999999999647563,0.9999999998561366,0.9746670347941913,0.24148197496468965,3282.467428779761,1450.228438031274,True
predicted_latent,train_19,0.003,0.0015,0.999999999965045,0.9999999998544186,0.9986057297823467,0.05575928820851354,2761.3849039569573,1353.9727035059395,True
predicted_latent,train_20,0.003,0.0015,0.9999999999648106,0.9999999998571785,0.9999986976767177,0.0016159029839630285,2302.4906617492834,1151.3395663231634,True
predicted_latent,train_21,0.003,0.0015,0.999999999964637,0.9999999998541886,0.9999240970214671,0.013234035371378348,2675.820779606798,1331.3455559562544,True
predicted_latent,train_22,0.003,0.0015,0.9999999999643882,0.9999999998550129,0.9947394557725466,0.11219254734848927,3844.326098639933,1824.0975097033422,True
predicted_latent,train_23,0.003,0.0015,0.999999999964714,0.9999999998595493,0.9999999025229391,0.0004421249656055769,2363.0452035023213,1181.496083810526,True
predicted_latent,train_24,0.003,0.0015,0.9999999999644441,0.9999999998580268,0.973628642022848,0.24156507558112406,3231.1266843079575,1444.6617358581452,True
predicted_latent,train_25,0.003,0.0015,0.999999999963806,0.999999999859571,0.9956191142171572,0.0935519823493344,3635.6057619337985,1804.2678787005257,True
predicted_latent,train_26,0.003,0.0015,0.9999999999653439,0.9999999998579334,0.9875217892546373,0.15821054305837584,3712.1913348254407,1804.7947155598151,True
predicted_latent,train_27,0.003,0.0015,0.9999999999649091,0.9999999998575851,0.9574164413519765,0.32885282598563537,4719.419486005618,1887.6890544822486,False
predicted_latent,train_28,0.003,0.0015,0.9999999999640432,0.9999999998633142,0.999985964465152,0.005331755000649224,2388.5800533797806,1195.0205663125448,True
predicted_latent,train_29,0.003,0.0015,0.9999999999648798,0.9999999998560211,0.9999991073771552,0.0013377582616777284,2497.578877183068,1248.7057975271493,True
predicted_latent,train_30,0.003,0.0015,0.9999999999644579,0.9999999998555313,0.9999494405367481,0.010147367313312816,2798.0997992289795,1397.0747000423612,True
predicted_latent,train_31,0.003,0.0015,0.9999999999644575,0.9999999998581895,0.988595220621609,0.1546275190432119,2740.859118024849,1306.7338207156713,True
predicted_latent,holdout_00,0.003,0.0015,0.9999999999635119,0.999999999861738,0.9661727026877601,0.31081408542911937,7919.618109693882,3138.914401102953,False
predicted_latent,holdout_01,0.003,0.0015,0.9999999999645125,0.9999999998558702,0.9302150927599823,0.42690949659180694,6878.230731458801,2449.170346405395,False
predicted_latent,holdout_02,0.003,0.0015,0.9999999999646504,0.9999999998544167,0.9999895679494021,0.004776644469728457,4369.897503849467,2181.873379372242,True
predicted_latent,holdout_03,0.003,0.0015,0.9999999999636127,0.9999999998588319,0.9999079441062131,0.013732122974201651,2200.45250533228,1097.7993719010608,True
predicted_latent,holdout_04,0.003,0.0015,0.999999999964307,0.9999999998558604,0.9999796359217197,0.006574716563417607,2328.178841342994,1165.9559971010715,True
predicted_latent,holdout_05,0.003,0.0015,0.999999999964146,0.999999999856111,0.9998675448564387,0.016758890304288857,2189.251722239731,1090.1068247818926,True
predicted_latent,holdout_06,0.003,0.0015,0.9999999999633208,0.9999999998631371,0.9987623115750524,0.053581159234700144,4633.08193963637,2267.5123515806004,True
predicted_latent,holdout_07,0.003,0.0015,0.9999999999654106,0.999999999858316,0.9998769654035483,0.015943500805297557,4565.730722421835,2276.070895079274,True
feedback_condition,train_00,0.003,0.0015,0.9999999999641302,0.9999999998576283,0.9968145500853743,0.08002674738903517,3234.541824419901,1601.4488807825646,True
feedback_condition,train_01,0.003,0.0015,0.9999999999642804,0.9999999998632578,0.9996870226750717,0.02507487280152558,4028.0788332467187,2009.9834134682721,True
feedback_condition,train_02,0.003,0.0015,0.9999999999648883,0.9999999998563485,0.9996718589424088,0.026051959395746723,3121.0838948167216,1568.5017579889707,True
feedback_condition,train_03,0.003,0.0015,0.9999999999644325,0.9999999998606733,0.9911442446509012,0.13848949185041054,4635.812652096526,2206.2341306068756,True
feedback_condition,train_04,0.003,0.0015,0.9999999999638167,0.9999999998549491,0.9999396612510507,0.01101571794838192,3337.0043139306595,1669.9720290530006,True
feedback_condition,train_05,0.003,0.0015,0.9999999999648979,0.9999999998576524,0.9999858829867619,0.0053811664325261735,3022.3629097036433,1512.4886676296596,True
feedback_condition,train_06,0.003,0.0015,0.9999999999637099,0.9999999998590755,0.995791528356566,0.09500019545500163,4318.06315491253,2095.93512881948,True
feedback_condition,train_07,0.003,0.0015,0.9999999999636184,0.999999999859261,0.9997769721553054,0.021472565777967637,5563.326904009725,2793.1283260503806,True
feedback_condition,train_08,0.003,0.0015,0.9999999999636968,0.9999999998588858,0.9943219319542784,0.1114316362209368,7926.32665207069,3809.629019582143,True
feedback_condition,train_09,0.003,0.0015,0.9999999999638491,0.9999999998537912,0.9999726158144573,0.008493044278879782,3397.985147338905,1706.1486914258742,True
feedback_condition,train_10,0.003,0.0015,0.9999999999647755,0.9999999998569891,0.9999439348420964,0.010674198855433864,3314.081458272126,1654.718084706244,True
feedback_condition,train_11,0.003,0.0015,0.9999999999638893,0.9999999998543548,0.9999229044711825,0.013235062573529476,3234.0133559907886,1624.5734336045336,True
feedback_condition,train_12,0.003,0.0015,0.9999999999653861,0.9999999998545489,0.9998159792671153,0.019264660027380247,3339.5665504035755,1666.5265967559205,True
feedback_condition,train_13,0.003,0.0015,0.9999999999638227,0.9999999998551288,0.8041213787778274,0.6497981241052981,10897.85938301827,2951.8532508816875,False
feedback_condition,train_14,0.003,0.0015,0.9999999999651772,0.9999999998534377,0.8940539351514175,0.47895367814594214,6213.475460795545,2251.009908421748,False
feedback_condition,train_15,0.003,0.0015,0.9999999999649419,0.9999999998622814,0.9999444409099019,0.01060189084999136,3337.9119101312917,1670.9430862779884,True
feedback_condition,train_16,0.003,0.0015,0.9999999999640963,0.9999999998609903,0.9999276783596397,0.012033496093369343,3667.362452193645,1834.564026074672,True
feedback_condition,train_17,0.003,0.0015,0.9999999999645588,0.9999999998564552,0.9828634512564917,0.1887280131892789,3605.861247707261,1699.0477341699032,True
feedback_condition,train_18,0.003,0.0015,0.9999999999647563,0.9999999998561366,0.9848128694237253,0.17439639321239814,3388.259953168995,1640.5381393524442,True
feedback_condition,train_19,0.003,0.0015,0.999999999965045,0.9999999998544186,0.9996487224032276,0.027739853986316437,3509.7530291925705,1739.8888439430775,True
feedback_condition,train_20,0.003,0.0015,0.9999999999648106,0.9999999998571785,0.9997242576026089,0.023868290291312603,3223.362787951853,1619.0512430558065,True
feedback_condition,train_21,0.003,0.0015,0.999999999964637,0.9999999998541886,0.9999155636271474,0.01326467520072287,3046.9097267245743,1519.2711970243743,True
feedback_condition,train_22,0.003,0.0015,0.9999999999643882,0.9999999998550129,0.9976525904889683,0.07043110698345188,4439.164326892303,2177.816763903165,True
feedback_condition,train_23,0.003,0.0015,0.999999999964714,0.9999999998595493,0.9999819167218555,0.006241840005821479,2885.527013205999,1445.2061578424282,True
feedback_condition,train_24,0.003,0.0015,0.9999999999644441,0.9999999998580268,0.982295217262334,0.18817412651435358,3134.2547004738203,1511.6385112123369,True
feedback_condition,train_25,0.003,0.0015,0.999999999963806,0.999999999859571,0.9982263014962564,0.05968417097667838,4109.257970439055,2067.052801685988,True
feedback_condition,train_26,0.003,0.0015,0.9999999999653439,0.9999999998579334,0.9935712889392803,0.1132277565351577,3906.151153947671,1969.88638763262,True
feedback_condition,train_27,0.003,0.0015,0.9999999999649091,0.9999999998575851,0.9591592354397446,0.29176849412674627,4220.215382085568,1873.011539121829,False
feedback_condition,train_28,0.003,0.0015,0.9999999999640432,0.9999999998633142,0.9999134462896208,0.013593485824106619,3073.8235584497256,1542.3169703116694,True
feedback_condition,train_29,0.003,0.0015,0.9999999999648798,0.9999999998560211,0.9999751435469059,0.0072321832465958346,3096.8051500685715,1550.9380020596018,True
feedback_condition,train_30,0.003,0.0015,0.9999999999644579,0.9999999998555313,0.9998938242630295,0.014637797207219397,3445.495868804041,1725.3246497199705,True
feedback_condition,train_31,0.003,0.0015,0.9999999999644575,0.9999999998581895,0.9952095269610434,0.09778704246061591,3140.0825652582516,1559.261276532811,True
feedback_condition,holdout_00,0.003,0.0015,0.9999999999635119,0.999999999861738,0.9691460134810699,0.26125492472860185,7941.419298302434,3504.3668544654433,False
feedback_condition,holdout_01,0.003,0.0015,0.9999999999645125,0.9999999998558702,0.9137796624425804,0.42532984308479205,5851.6238825115515,2304.6311573836765,False
feedback_condition,holdout_02,0.003,0.0015,0.9999999999646504,0.9999999998544167,0.9997982888952788,0.02008518543724897,4825.468100756827,2413.660788987508,True
feedback_condition,holdout_03,0.003,0.0015,0.9999999999636127,0.9999999998588319,0.9999631885399985,0.008772606896881753,2924.402146037934,1464.9310713769323,True
feedback_condition,holdout_04,0.003,0.0015,0.999999999964307,0.9999999998558604,0.9999712056376664,0.008529614255798096,3099.2829994849176,1555.7444773007933,True
feedback_condition,holdout_05,0.003,0.0015,0.999999999964146,0.999999999856111,0.9998901414092882,0.014893883209596148,2859.2346845385846,1427.3774721653854,True
feedback_condition,holdout_06,0.003,0.0015,0.9999999999633208,0.9999999998631371,0.9994092689461671,0.035089391758388294,5335.998471035941,2647.5298490210853,True
feedback_condition,holdout_07,0.003,0.0015,0.9999999999654106,0.999999999858316,0.9992694129173041,0.03822878100364937,4913.007201759139,2452.512768787092,True
float_rgb_final,train_00,0.003,0.0015,0.9999999999641302,0.9999999998576283,0.9971203189064604,0.07823453172368405,1132.7140132944712,553.8381844461096,True
float_rgb_final,train_01,0.003,0.0015,0.9999999999642804,0.9999999998632578,0.9997740169551497,0.02242239131728082,1560.4849319357727,774.5022682558181,True
float_rgb_final,train_02,0.003,0.0015,0.9999999999648883,0.9999999998563485,0.9999831550583644,0.005820057187684162,1123.9461640627549,561.7229349720261,True
float_rgb_final,train_03,0.003,0.0015,0.9999999999644325,0.9999999998606733,0.9961301493121313,0.09735531533941094,2071.8323796793043,988.5307721433072,True
float_rgb_final,train_04,0.003,0.0015,0.9999999999638167,0.9999999998549491,0.9999894716029971,0.004656075375961036,1034.447793542938,516.8104006392806,True
float_rgb_final,train_05,0.003,0.0015,0.9999999999648979,0.9999999998576524,0.9999913809453105,0.004153679657193894,1135.7569234331165,567.9528454849949,True
float_rgb_final,train_06,0.003,0.0015,0.9999999999637099,0.9999999998590755,0.9978616755937272,0.07237291080511243,1881.9504954459114,909.7208610101168,True
float_rgb_final,train_07,0.003,0.0015,0.9999999999636184,0.999999999859261,0.9999171331598408,0.013585636412760827,2569.747961318494,1290.5834518173665,True
float_rgb_final,train_08,0.003,0.0015,0.9999999999636968,0.9999999998588858,0.9977673724908426,0.06942614171555381,3927.085678387575,1921.9179255472127,True
float_rgb_final,train_09,0.003,0.0015,0.9999999999638491,0.9999999998537912,0.9999835377116446,0.007369742141556497,1300.243104790515,653.1529370467312,True
float_rgb_final,train_10,0.003,0.0015,0.9999999999647755,0.9999999998569891,0.9999756876443404,0.008326434408047092,1207.3033321056062,600.8903314510128,True
float_rgb_final,train_11,0.003,0.0015,0.9999999999638893,0.9999999998543548,0.9999599618608258,0.008953850932622952,945.3499556533981,472.84100417007915,True
float_rgb_final,train_12,0.003,0.0015,0.9999999999653861,0.9999999998545489,0.9997277883769403,0.024563172830898344,1090.3411431366296,540.8345580626267,True
float_rgb_final,train_13,0.003,0.0015,0.9999999999638227,0.9999999998551288,0.8410709439324557,0.5678356766186042,3842.361780587506,1283.9925224452898,False
float_rgb_final,train_14,0.003,0.0015,0.9999999999651772,0.9999999998534377,0.9385086847144042,0.35333240855944237,2362.1475684533843,1019.7310246602611,False
float_rgb_final,train_15,0.003,0.0015,0.9999999999649419,0.9999999998622814,0.9999615883042929,0.009233741009082131,1534.1503837085,769.339882810166,True
float_rgb_final,train_16,0.003,0.0015,0.9999999999640963,0.9999999998609903,0.9999517744425312,0.010088403149238838,1668.0359321488613,835.9879944067917,True
float_rgb_final,train_17,0.003,0.0015,0.9999999999645588,0.9999999998564552,0.9910057587412074,0.14442551244431448,1480.092782826776,693.1876957759173,True
float_rgb_final,train_18,0.003,0.0015,0.9999999999647563,0.9999999998561366,0.9898502121703401,0.1489690568258131,1253.2043832846389,592.2532164038738,True
float_rgb_final,train_19,0.003,0.0015,0.999999999965045,0.9999999998544186,0.999619845390363,0.03139059274038089,1233.9310785719658,607.4724176138144,True
float_rgb_final,train_20,0.003,0.0015,0.9999999999648106,0.9999999998571785,0.9999859772642143,0.005680165176646024,1086.3003028538285,544.2757039372261,True
float_rgb_final,train_21,0.003,0.0015,0.999999999964637,0.9999999998541886,0.9998570475233897,0.01767893749748541,996.0336386055425,495.37429385813005,True
float_rgb_final,train_22,0.003,0.0015,0.9999999999643882,0.9999999998550129,0.9986138275470295,0.05717129641223076,1861.0668615092816,908.4748300852956,True
float_rgb_final,train_23,0.003,0.0015,0.999999999964714,0.9999999998595493,0.9999978875371281,0.00208621275101796,986.4164923868209,493.3855967159839,True
float_rgb_final,train_24,0.003,0.0015,0.9999999999644441,0.9999999998580268,0.988770256919633,0.15258428632367732,1206.7423603080597,578.0120436062628,True
float_rgb_final,train_25,0.003,0.0015,0.999999999963806,0.999999999859571,0.9990857476388597,0.042977785022733646,1941.3445438459567,975.8650843795791,True
float_rgb_final,train_26,0.003,0.0015,0.9999999999653439,0.9999999998579334,0.9968171950964074,0.07987503075999393,1787.634305380319,901.1496912340194,True
float_rgb_final,train_27,0.003,0.0015,0.9999999999649091,0.9999999998575851,0.9775334495000843,0.2176378414585411,1674.5531150484112,773.0835783364045,True
float_rgb_final,train_28,0.003,0.0015,0.9999999999640432,0.9999999998633142,0.9999855595430742,0.005656432622259386,1038.245041279663,520.0478158012869,True
float_rgb_final,train_29,0.003,0.0015,0.9999999999648798,0.9999999998560211,0.9999904505284606,0.004468581025022857,1148.7676382679876,574.9253030007321,True
float_rgb_final,train_30,0.003,0.0015,0.9999999999644579,0.9999999998555313,0.99994052270763,0.010906497092359926,1470.4452892159184,735.1973059604366,True
float_rgb_final,train_31,0.003,0.0015,0.9999999999644575,0.9999999998581895,0.9959744043109678,0.09061680111245442,1138.2262741043905,559.2630230133792,True
float_rgb_final,holdout_00,0.003,0.0015,0.9999999999635119,0.999999999861738,0.9849668384553868,0.18044334249971195,3330.22267197607,1553.2463384363655,True
float_rgb_final,holdout_01,0.003,0.0015,0.9999999999645125,0.9999999998558702,0.9417701283712164,0.3407453506173314,2120.988681561526,940.2859673455089,False
float_rgb_final,holdout_02,0.003,0.0015,0.9999999999646504,0.9999999998544167,0.9998878142589628,0.015158242062644146,2274.3690659710746,1139.9649368696605,True
float_rgb_final,holdout_03,0.003,0.0015,0.9999999999636127,0.9999999998588319,0.9999619721507438,0.008829539467960135,859.1261443529098,428.9536074075977,True
float_rgb_final,holdout_04,0.003,0.0015,0.999999999964307,0.9999999998558604,0.9999801803457282,0.007523325053948936,1084.1947178283247,544.3498333548399,True
float_rgb_final,holdout_05,0.003,0.0015,0.999999999964146,0.999999999856111,0.9998496616514375,0.018409156414282757,862.7254104151048,428.63028127422695,True
float_rgb_final,holdout_06,0.003,0.0015,0.9999999999633208,0.9999999998631371,0.9996634655622176,0.026859750627817213,2415.5107688090125,1198.9391558153225,True
float_rgb_final,holdout_07,0.003,0.0015,0.9999999999654106,0.999999999858316,0.999618589956282,0.028316993447337378,2712.061831525352,1365.0960020281107,True
