mode,scheme,h,compute_dtype,input_quantization,execution_kind,weight_dtype,weight_sha256,target_jv_rms,derivative_rms,derivative_reason,error,error_reason,absolute_error_rms,absolute_error_reason
fp64_reference,one_sided,0.01778279410038923,float64,none,fp64_reference,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.11118990767315069,,0.0005916953558994665,,6.579285630402016e-05,
fp64_reference,one_sided,0.03162277660168379,float64,none,fp64_reference,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.11118699880363225,,0.0010523425939099244,,0.0001170139741226553,
fp64_reference,one_sided,0.05623413251903491,float64,none,fp64_reference,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.11118209008155724,,0.0018718170993311967,,0.0002081344600998182,
fp64_reference,one_sided,0.1,float64,none,fp64_reference,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.1111741964694953,,0.0033300954175304203,,0.0003702859708121168,
fp64_reference,centered,1e-07,float64,none,fp64_reference,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.11119380232734424,,2.099949849900811e-08,,2.3350140801789135e-09,
fp64_reference,centered,1.7782794100389227e-07,float64,none,fp64_reference,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.1111938020217118,,1.3463731472112096e-08,,1.497083492761251e-09,
fp64_reference,centered,3.162277660168379e-07,float64,none,fp64_reference,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.11119380212531299,,7.652043130409246e-09,,8.508597694600125e-10,
fp64_reference,centered,5.62341325190349e-07,float64,none,fp64_reference,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.11119380202496144,,4.2049722819378054e-09,,4.675668557299407e-10,
fp64_reference,centered,1e-06,float64,none,fp64_reference,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.11119380207182039,,2.2968642553862994e-09,,2.553970694509676e-10,
fp64_reference,centered,1.778279410038923e-06,float64,none,fp64_reference,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.11119380209108277,,1.365191186977076e-09,,1.518007986656541e-10,
fp64_reference,centered,3.162277660168379e-06,float64,none,fp64_reference,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.11119380210301938,,9.212908696295598e-10,,1.0244183462890357e-10,
fp64_reference,centered,5.623413251903491e-06,float64,none,fp64_reference,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.1111938020950242,,4.5737926077052137e-10,,5.085773900416886e-11,
fp64_reference,centered,1e-05,float64,none,fp64_reference,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.11119380209386354,,2.2409773382241224e-10,,2.4918279064437423e-11,
fp64_reference,centered,1.778279410038923e-05,float64,none,fp64_reference,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.1111938020944528,,1.2534194600654137e-10,,1.393724753836971e-11,
fp64_reference,centered,3.1622776601683795e-05,float64,none,fp64_reference,float32,ca1d40b2eb41642f2e1a5431279c63c11a393aedb89400c2599a7eac9da5dda9,0.11119380209433122,0.11119380209484572,,7.450008876235194e-11,,8.28394812585107e-12,
