precision,ordinal,alpha,h_plus,h_minus,plus_input_cosine,minus_input_cosine,opposite_cosine,plus_outside_exact,minus_outside_exact
native,0,0.001,0.0005908766358475674,0.0005908766486948794,0.9999999996870067,0.9999999996861086,-0.9999999999934142,True,True
native,1,0.003,0.001772629432715335,0.0017726294218042506,0.9999999999643877,0.9999999999643279,-0.9999999999991338,True,True
native,2,0.01,0.0059087650697593665,0.0059087650451817315,0.9999999999968029,0.9999999999967868,-0.9999999999998521,True,True
temporary_fp32,0,0.001,0.0005908766358475674,0.0005908766486948794,0.9999999996870067,0.9999999996861086,-0.9999999999934142,True,True
temporary_fp32,1,0.003,0.001772629432715335,0.0017726294218042506,0.9999999999643877,0.9999999999643279,-0.9999999999991338,True,True
temporary_fp32,2,0.01,0.0059087650697593665,0.0059087650451817315,0.9999999999968029,0.9999999999967868,-0.9999999999998521,True,True
