precision,ordinal,alpha,h_plus,h_minus,plus_response_rms,minus_response_rms,plus_input_cosine,minus_input_cosine,opposite_cosine
native,0,0.001,0.0005908766358475674,0.0005908766486948794,0.003871857230272033,0.004070815021787626,0.9999999996870067,0.9999999996861086,-0.9999999999934142
native,1,0.003,0.001772629432715335,0.0017726294218042506,0.005124663850646798,0.004892222082939002,0.9999999999643877,0.9999999999643279,-0.9999999999991338
native,2,0.01,0.0059087650697593665,0.0059087650451817315,0.008237886417794776,0.00823134767217971,0.9999999999968029,0.9999999999967868,-0.9999999999998521
temporary_fp32,0,0.001,0.0005908766358475674,0.0005908766486948794,0.0006225148135012012,0.0006238230969499764,0.9999999996870067,0.9999999996861086,-0.9999999999934142
temporary_fp32,1,0.003,0.001772629432715335,0.0017726294218042506,0.0018637676548471614,0.0018749071534922112,0.9999999999643877,0.9999999999643279,-0.9999999999991338
temporary_fp32,2,0.01,0.0059087650697593665,0.0059087650451817315,0.006163282437073846,0.006264660276899851,0.9999999999968029,0.9999999999967868,-0.9999999999998521
