precision,from_alpha,to_alpha,cosine,relative_change,denominator
native,0.001,0.003,0.29007883805555845,0.9733985481936959,3.801487396637736
native,0.003,0.01,0.5688787098375392,0.8264134816465016,1.779037701438405
temporary_fp32,0.001,0.003,0.9999801803348043,0.0063335134809954195,1.0545413925870142
temporary_fp32,0.003,0.01,0.9988091108536575,0.04932431211623716,1.0537941161562536
